true\pred,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
1,101,12,0,1,1,0,1,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2,30,110,0,0,0,0,1,0,0,1,14,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0
3,0,0,78,0,3,13,2,0,17,1,0,0,0,0,0,12,1,0,0,0,6,1,0,1,1,0,0,0,0,1,12,3,0
4,0,0,0,69,8,4,6,0,0,12,0,0,18,0,15,2,0,0,2,8,6,1,0,0,1,5,1,2,5,1,0,0,3
5,2,0,1,6,64,3,0,5,3,0,0,4,4,3,5,8,1,3,2,1,3,4,0,0,1,1,1,0,4,4,0,4,4
6,0,0,6,3,8,64,3,0,1,0,0,6,0,4,0,1,2,0,7,2,3,8,0,0,0,2,0,1,2,5,3,10,0
7,1,1,3,2,2,3,96,0,0,4,4,0,4,9,9,0,0,3,3,0,1,3,1,0,0,0,0,2,1,5,0,0,1
8,0,0,0,0,1,0,0,148,0,0,2,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,0,0,10,0,0,0,1,0,135,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,6,0,0
10,0,0,0,13,1,1,5,0,0,81,0,0,0,3,4,0,0,0,1,5,5,0,1,0,3,13,1,0,8,0,0,0,6
11,14,22,0,2,2,1,3,1,0,0,95,0,0,2,1,0,0,5,4,0,0,0,0,0,0,2,0,6,0,0,0,0,0
12,0,0,0,3,0,4,0,0,0,0,0,113,0,1,0,0,2,0,0,0,0,4,0,4,0,0,0,1,0,9,0,2,0
13,1,0,0,11,0,0,3,0,0,0,0,0,114,0,4,0,0,0,0,0,2,0,0,0,2,1,0,1,2,3,0,0,0
14,1,1,0,0,3,5,11,1,0,4,6,2,1,92,0,0,1,1,6,0,0,2,0,0,1,2,0,12,0,6,0,0,0
15,6,7,0,13,4,0,5,0,0,5,2,0,5,0,105,0,0,0,0,0,1,0,3,0,0,2,0,3,2,0,1,0,0
16,0,0,5,2,3,1,0,0,0,1,0,0,0,0,0,76,0,1,0,8,7,2,0,0,1,6,0,0,8,1,3,2,3
17,0,0,0,0,3,0,0,1,0,0,0,1,0,3,0,2,115,0,4,0,0,4,0,4,0,0,0,2,0,3,0,2,0
18,0,0,1,0,1,8,1,1,0,0,4,0,0,2,0,0,1,135,1,0,0,1,0,0,0,1,0,3,0,0,0,4,0
19,0,2,0,1,3,5,2,1,0,0,10,0,0,1,0,1,3,0,73,0,2,1,0,0,5,3,0,7,5,1,0,2,0
20,0,0,2,10,3,1,0,0,0,9,0,0,0,0,0,11,0,0,0,83,31,0,0,0,0,4,0,0,0,0,0,1,0
21,0,0,6,7,1,3,0,0,0,5,0,0,0,0,2,11,0,0,1,31,62,0,0,0,5,6,0,0,7,2,2,6,4
22,0,0,4,0,1,2,2,0,0,0,0,0,0,1,0,4,6,2,2,0,0,109,0,2,0,0,0,0,1,2,8,6,1
23,0,0,0,1,1,0,2,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,132,0,0,3,0,0,2,0,2,0,1
24,0,0,1,0,0,0,2,0,5,0,0,6,0,2,0,0,1,1,0,0,0,0,0,138,0,0,0,0,0,2,0,0,0
25,0,0,1,3,0,0,0,0,0,3,1,0,1,1,1,1,0,0,4,0,6,0,1,0,102,0,2,0,26,0,0,0,3
26,0,2,0,11,0,3,0,0,0,14,3,0,3,0,0,6,0,0,4,1,3,0,4,0,1,75,8,6,10,1,0,0,30
27,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,6,7,123,0,1,0,0,0,6
28,2,5,2,0,0,0,6,3,2,1,7,1,6,7,2,0,0,3,4,0,0,1,1,0,2,1,0,79,1,4,3,0,1
29,0,0,0,6,2,3,0,0,0,7,0,0,3,1,2,6,1,0,7,0,2,2,0,0,28,16,5,0,40,0,1,0,4
30,1,0,0,2,9,12,2,0,0,0,0,8,3,5,0,0,3,1,2,0,0,3,0,0,0,0,0,5,0,89,0,1,0
31,0,0,15,0,0,2,1,0,4,1,0,0,0,1,0,7,0,0,0,1,2,3,5,0,0,0,0,1,1,0,104,0,0
32,0,0,4,1,10,4,0,1,0,0,0,4,0,1,0,3,2,2,2,3,1,8,0,1,0,0,1,0,5,4,0,97,0
33,0,0,0,0,4,0,0,0,0,4,0,0,0,0,1,5,0,0,0,0,4,0,0,0,3,16,6,0,7,0,1,0,89
